Unnamed: 0,age,gender,height,weight,Fitbit.Steps_LE,Fitbit.Heart_LE,Fitbit.Calories_LE,Fitbit.Distance_LE,EntropyFitbitHeartPerDay_LE,EntropyFitbitStepsPerDay_LE,RestingFitbitHeartrate_LE,CorrelationFitbitHeartrateSteps_LE,NormalizedFitbitHeartrate_LE,FitbitIntensity_LE,SDNormalizedFitbitHR_LE,FitbitStepsXDistance_LE,activity_trimmed
2734,22,0,168,62,33,57.4285714285714,66.5,77,4.43715733473776,3.39010261822172,10.1111111111111,0.503957494786404,47.3174603174603,0.251837458815578,4.72726176150251,2541,Running 3 METs
2735,22,0,168,62,35,55.25,68,81,4.43715733473776,3.39010261822172,10.1111111111111,0.545849467817779,45.1388888888889,0.240242460082791,4.80484237569458,2835,Running 3 METs
2736,22,0,168,62,35,58,63.5,320,4.43715733473776,3.39010261822172,10.1111111111111,0.513898043311698,47.8888888888889,0.254878769958604,4.67514865914533,11200,Running 3 METs
2737,22,0,168,62,37,61.1428571428571,37,322,4.43715733473776,3.39010261822172,10.1111111111111,0.508655676902288,51.031746031746,0.271605981245248,4.64415907897785,11914,Lying
2738,22,0,168,62,66,66.5,2,19,4.43715733473776,3.39010261822172,10.1111111111111,0.493334268641223,56.3888888888889,0.300118273211118,4.60384659161808,1254,Lying
2739,22,0,168,62,54,70.3333333333333,2,134,4.43715733473776,3.39010261822172,10.1111111111111,0.496940648915793,60.2222222222222,0.320520402128918,4.35701437489464,7236,Lying
2740,22,0,168,62,140,66,2,269,4.43715733473776,3.39010261822172,10.1111111111111,0.590445331003821,55.8888888888889,0.29745712596097,3.66539608989843,37660,Lying
2741,22,0,168,62,25,61.5714285714286,2,308,4.43715733473776,3.39010261822172,10.1111111111111,0.676754688361756,51.4603174603175,0.273886964602518,3.34144986884458,7700,Lying
2742,22,0,168,62,1,61,39,1,4.43715733473776,3.39010261822172,10.1111111111111,0.712019743015265,50.8888888888889,0.270845653459491,3.35082429136396,1,Running 5 METs
2743,22,0,168,62,1,61,66.5,1,4.43715733473776,3.39010261822172,10.1111111111111,0.690894013385778,50.8888888888889,0.270845653459491,3.1661832785371,1,Running 5 METs
2744,22,0,168,62,1,61,71,1,4.43715733473776,3.39010261822172,10.1111111111111,0.998279944108432,50.8888888888889,0.270845653459491,1.57135641970001,1,Running 5 METs
2745,22,0,168,62,1,61,73,1,4.43715733473776,3.39010261822172,10.1111111111111,1,50.8888888888889,0.270845653459491,0.180701580581059,1,Running 5 METs
2767,22,0,168,62,1,61,19,1,4.43715733473776,3.39010261822172,10.1111111111111,1,50.8888888888889,0.270845653459491,3.63037115671234,1,Running 7 METs
2768,22,0,168,62,1,61,16,1,4.43715733473776,3.39010261822172,10.1111111111111,1,50.8888888888889,0.270845653459491,4.69219672273004,1,Running 7 METs
2769,22,0,168,62,1,61,16,1,4.43715733473776,3.39010261822172,10.1111111111111,1,50.8888888888889,0.270845653459491,4.91198960260341,1,Running 7 METs
2770,22,0,168,62,1,61,18,1,4.43715733473776,3.39010261822172,10.1111111111111,1,50.8888888888889,0.270845653459491,4.77151585457223,1,Running 7 METs
2771,22,0,168,62,1,68.2990392648287,13.5,1,4.43715733473776,3.39010261822172,10.1111111111111,1,58.1879281537176,0.309693289996132,4.54890217291609,1,Running 7 METs
3525,29,0,159,55,1.15789473684211,75.5980785296575,5,15.7894736842105,6.20945336562895,3.57604542570886,10,1,65.5980785296575,0.362420323368273,33.1435032057158,18.2825484764543,Lying
3526,29,0,159,55,10.6315789473684,77.3673577884105,2.5,15.6842105263158,6.20945336562895,3.57604542570886,10,1,67.3673577884105,0.372195346897295,30.669865216032,166.747922437673,Lying
3527,29,0,159,55,10.2392344497608,75.5425788990383,2.5,26.8349282296651,6.20945336562895,3.57604542570886,10,1,65.5425788990383,0.362113695574797,26.5362390993845,274.769121586044,Lying
3528,29,0,159,55,9.84688995215311,73.7178000096661,1,37.9856459330144,6.20945336562895,3.57604542570886,10,1,63.7178000096661,0.352032044252299,19.9150352978518,374.040475263845,Lying
3529,29,0,159,55,9.45454545454546,71.8930211202939,3.5,49.1363636363636,6.20945336562895,3.57604542570886,10,0.0296581541516604,61.8930211202939,0.3419503929298,5.0256040018162,464.561983471074,Lying
3530,29,0,159,55,9.0622009569378,70.0682422309217,2,60.2870813397129,6.20945336562895,3.57604542570886,10,1,60.0682422309217,0.331868741607302,5.52479245055735,546.333646207733,Sitting
3531,29,0,159,55,8.66985645933014,68.2434633415495,2.5,71.4377990430622,6.20945336562895,3.57604542570886,10,1,58.2434633415495,0.321787090284804,5.52479245055735,619.355463473821,Sitting
3532,29,0,159,55,8.27751196172249,66.4186844521773,39,82.5885167464115,6.20945336562895,3.57604542570886,10,1,56.4186844521773,0.311705438962306,5.52479245055735,683.627435269339,Sitting
3533,29,0,159,55,7.88516746411483,64.5939055628051,39,93.7392344497608,6.20945336562895,3.57604542570886,10,1,54.5939055628051,0.301623787639807,5.52479245055735,739.149561594286,Sitting
3534,29,0,159,55,7.49282296650718,62.7691266734329,43,104.88995215311,6.20945336562895,3.57604542570886,10,1,52.7691266734329,0.291542136317309,5.52479245055735,785.921842448662,Sitting
3535,29,0,159,55,7.10047846889952,60.9443477840607,3.5,116.040669856459,6.20945336562895,3.57604542570886,10,1,50.9443477840607,0.281460484994811,5.52479245055735,823.944277832467,Sitting
3536,29,0,159,55,6.70813397129187,59.1195688946885,36,127.191387559809,6.20945336562895,3.57604542570886,10,1,49.1195688946885,0.271378833672312,5.52479245055735,853.216867745702,Self Pace walk
3537,29,0,159,55,6.31578947368421,57.2947900053163,63.5,138.342105263158,6.20945336562895,3.57604542570886,10,1,47.2947900053163,0.261297182349814,5.52479245055735,873.739612188366,Self Pace walk
3538,29,0,159,55,5.92344497607656,55.4700111159441,54.5,149.492822966507,6.20945336562895,3.57604542570886,10,1,45.4700111159441,0.251215531027316,5.52479245055735,885.512511160459,Self Pace walk
3539,29,0,159,55,5.5311004784689,53.6452322265719,52.5,160.643540669856,6.20945336562895,3.57604542570886,10,1,43.6452322265719,0.241133879704817,5.52479245055735,888.535564661981,Self Pace walk
3540,29,0,159,55,5.13875598086124,51.8204533371998,65,171.794258373206,6.20945336562895,3.57604542570886,10,1,41.8204533371998,0.231052228382319,5.52479245055735,882.808772692933,Self Pace walk
3541,29,0,159,55,4.74641148325359,49.9956744478276,71,182.944976076555,6.20945336562895,3.57604542570886,10,1,39.9956744478276,0.220970577059821,5.52479245055735,868.332135253314,Self Pace walk
3542,29,0,159,55,4.35406698564593,48.1708955584554,75,194.095693779904,6.20945336562895,3.57604542570886,10,1,38.1708955584554,0.210888925737322,5.52479245055735,845.105652343124,Self Pace walk
